"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type"
"CHEMBL608533";"MIDOSTAURIN";"4.0";"570.65";"2";"5.91";"PKC_412";"CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4";"Residual Activity";"'='";"50.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL2219160";"Millipore: Percentage of residual kinase activity of ROS1 at 10uM relative to control. Control inhibitor: Staurosporine at 10.0uM. Buffer: 8 mM MOPS pH 7.0, 0.2 mM EDTA, 10 mM MnCl2";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5568";"Proto-oncogene tyrosine-protein kinase ROS";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2218924";"1";"Scientific Literature";"Biochem J";"2013";"None";"";""
"CHEMBL563845";"";"None";"387.44";"0";"4.97";"EGFR_ErbB_2_Inhibitor";"COc1cc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2cc1OC";"Residual Activity";"'='";"101.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL2219160";"Millipore: Percentage of residual kinase activity of ROS1 at 10uM relative to control. Control inhibitor: Staurosporine at 10.0uM. Buffer: 8 mM MOPS pH 7.0, 0.2 mM EDTA, 10 mM MnCl2";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5568";"Proto-oncogene tyrosine-protein kinase ROS";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2218924";"1";"Scientific Literature";"Biochem J";"2013";"None";"";""
"CHEMBL71191";"";"None";"266.30";"0";"3.31";"Tyrphostin AG-1296";"COc1cc2ncc(-c3ccccc3)nc2cc1OC";"Residual Activity";"'='";"103.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL2219160";"Millipore: Percentage of residual kinase activity of ROS1 at 10uM relative to control. Control inhibitor: Staurosporine at 10.0uM. Buffer: 8 mM MOPS pH 7.0, 0.2 mM EDTA, 10 mM MnCl2";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5568";"Proto-oncogene tyrosine-protein kinase ROS";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2218924";"1";"Scientific Literature";"Biochem J";"2013";"None";"";""
"CHEMBL1170139";"";"None";"545.61";"2";"5.68";"12";"CCN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(C#Cc4cnc5[nH]ccc5c4)c3)cc2C(F)(F)F)CC1";"Inhibition";"'='";"34.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1175321";"Inhibition of ROS1 at 10 uM";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5568";"Proto-oncogene tyrosine-protein kinase ROS";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1177794";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"None";"";""
"CHEMBL578843";"";"None";"405.46";"0";"4.99";"10h";"COc1cc(C)cc(-c2nn(CC#N)cc2-c2ccnc(-c3ccc(C#N)cc3)c2)c1";"Inhibition";"'<'";"30.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1043166";"Inhibition of ROS1 at 20 uM by HotSpot assay";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5568";"Proto-oncogene tyrosine-protein kinase ROS";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1155185";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2009";"None";"";""
"CHEMBL573182";"";"None";"391.43";"0";"4.69";"12h";"Cc1cc(O)cc(-c2nn(CC#N)cc2-c2ccnc(-c3ccc(C#N)cc3)c2)c1";"Inhibition";"'<'";"30.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1043166";"Inhibition of ROS1 at 20 uM by HotSpot assay";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5568";"Proto-oncogene tyrosine-protein kinase ROS";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1155185";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2009";"None";"";""
"CHEMBL575579";"";"None";"367.41";"0";"4.21";"13b";"Cc1cc(O)cc(-c2c(-c3ccnc(-c4cccnc4)c3)cnn2CC#N)c1";"Inhibition";"'<'";"30.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1043166";"Inhibition of ROS1 at 20 uM by HotSpot assay";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5568";"Proto-oncogene tyrosine-protein kinase ROS";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1155185";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2009";"None";"";""
"CHEMBL583617";"";"None";"422.49";"1";"5.32";"18b";"COc1cc(C)cc(-c2nn(CC#N)cc2-c2ccc(-c3ccccc3C(C)=O)nc2)c1";"Inhibition";"'<'";"30.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1043166";"Inhibition of ROS1 at 20 uM by HotSpot assay";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5568";"Proto-oncogene tyrosine-protein kinase ROS";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1155185";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2009";"None";"";""
"CHEMBL574466";"";"None";"381.44";"0";"4.51";"19a";"COc1cc(C)cc(-c2c(-c3ccc(-c4cccnc4)nc3)cnn2CC#N)c1";"Inhibition";"'<'";"30.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1043166";"Inhibition of ROS1 at 20 uM by HotSpot assay";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5568";"Proto-oncogene tyrosine-protein kinase ROS";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1155185";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2009";"None";"";""
"CHEMBL124660";"TANDUTINIB";"2.0";"562.72";"2";"5.03";"MLN-518";"COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1";"Kd";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"1";"CHEMBL1244963";"Binding affinity to ROS1";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5568";"Proto-oncogene tyrosine-protein kinase ROS";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1240346";"1";"Scientific Literature";"Blood";"2009";"None";"";""
"CHEMBL379218";"";"None";"358.45";"0";"3.88";"A-674563";"Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4ccccc4)c3)cc12";"Kd";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1908596";"Binding constant for ROS1 kinase domain";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5568";"Proto-oncogene tyrosine-protein kinase ROS";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1908390";"1";"Scientific Literature";"Nat Biotechnol";"2011";"None";"";""
"CHEMBL300138";"ENZASTAURIN";"3.0";"515.62";"1";"4.93";"LY-317615";"Cn1cc(C2=C(c3cn(C4CCN(Cc5ccccn5)CC4)c4ccccc34)C(=O)NC2=O)c2ccccc21";"Kd";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1908596";"Binding constant for ROS1 kinase domain";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5568";"Proto-oncogene tyrosine-protein kinase ROS";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1908390";"1";"Scientific Literature";"Nat Biotechnol";"2011";"None";"";""
"CHEMBL2425652";"";"None";"309.38";"0";"1.89";"4";"N[C@H]1CC[C@H](Nc2nccc(-n3nnc4ccccc43)n2)CC1";"Inhibition";"'<'";"50.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL2429473";"Competitive binding affinity to ROS1 (unknown origin) at 10 uM in presence of ATP relative to control";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5568";"Proto-oncogene tyrosine-protein kinase ROS";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2424622";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2013";"None";"";""
"CHEMBL482767";"SNS-314";"1.0";"430.95";"1";"5.10";"SID103905586";"O=C(Nc1cccc(Cl)c1)Nc1ncc(CCNc2ncnc3ccsc23)s1";"Ki";"'='";"1584.89";"nM";"5.80";"";"active";"UO_0000065";"";"";"";"";"0";"CHEMBL1963751";"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: ROS1";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5568";"Proto-oncogene tyrosine-protein kinase ROS";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";""
"CHEMBL1979057";"";"None";"340.39";"0";"4.22";"SID103905248";"O=C1NCc2c1cccc2-c1ccc(Nc2nc3ccccc3[nH]2)cc1";"Ki";"'>'";"1995.26";"nM";"";"";"inactive";"UO_0000065";"";"";"";"";"0";"CHEMBL1963751";"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: ROS1";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5568";"Proto-oncogene tyrosine-protein kinase ROS";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";""
"CHEMBL1999428";"";"None";"302.38";"0";"4.24";"SID103904562";"CC(NC(=O)c1ccc(-c2ccncc2)cc1)c1ccccc1";"Ki";"'>'";"1995.26";"nM";"";"";"inactive";"UO_0000065";"";"";"";"";"0";"CHEMBL1963751";"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: ROS1";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5568";"Proto-oncogene tyrosine-protein kinase ROS";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";""
"CHEMBL1978267";"";"None";"616.75";"2";"6.42";"SID103904434";"CN(C)c1ccc(-c2nc3sccn3c2-c2ccnc(Nc3cccc(N4CCOCC4)c3)n2)cc1NC(=O)c1ccccc1";"Ki";"'>'";"3162.28";"nM";"";"";"inactive";"UO_0000065";"";"";"";"";"0";"CHEMBL1963751";"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: ROS1";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5568";"Proto-oncogene tyrosine-protein kinase ROS";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";""
"CHEMBL484390";"";"None";"457.58";"1";"5.50";"SID103905078";"CCCCn1c(NC(=O)c2ccc(C#N)cc2)nc2cc(N(C)C(=O)C3CCCCC3)ccc21";"Ki";"'>'";"1995.26";"nM";"";"";"inactive";"UO_0000065";"";"";"";"";"0";"CHEMBL1963751";"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: ROS1";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5568";"Proto-oncogene tyrosine-protein kinase ROS";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";""
"CHEMBL1990254";"";"None";"317.39";"0";"3.18";"SID103904554";"NCC(NC(=O)c1ccc(-c2ccncc2)cc1)c1ccccc1";"Ki";"'>'";"1995.26";"nM";"";"";"inactive";"UO_0000065";"";"";"";"";"0";"CHEMBL1963751";"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: ROS1";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5568";"Proto-oncogene tyrosine-protein kinase ROS";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";""
"CHEMBL2004290";"";"None";"528.64";"2";"5.83";"SID103904291";"COc1ccc(NC(=O)Nc2ccc(-c3csc4c(-c5cnn(CC(C)(C)O)c5)cnc(N)c34)cc2)cc1";"Ki";"'>'";"1995.26";"nM";"";"";"inactive";"UO_0000065";"";"";"";"";"0";"CHEMBL1963751";"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: ROS1";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5568";"Proto-oncogene tyrosine-protein kinase ROS";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";""
"CHEMBL1986499";"";"None";"384.42";"0";"4.26";"SID103904466";"Nc1n[nH]c2ccc(-c3nnn(Cc4ccccc4)c3-c3ccc(F)cc3)cc12";"Ki";"'>'";"1995.26";"nM";"";"";"inactive";"UO_0000065";"";"";"";"";"0";"CHEMBL1963751";"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: ROS1";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5568";"Proto-oncogene tyrosine-protein kinase ROS";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";""
"CHEMBL2000393";"";"None";"420.38";"0";"3.11";"SID103905603";"O=c1[nH]c2cnc(-n3cnc4ccc(F)cc43)nc2n1C1CCOc2c(F)cccc21";"Ki";"'='";"19.95";"nM";"7.70";"";"active";"UO_0000065";"";"";"";"";"0";"CHEMBL1963751";"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: ROS1";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5568";"Proto-oncogene tyrosine-protein kinase ROS";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";""
"CHEMBL1965589";"";"None";"408.41";"0";"3.38";"SID103904761";"Cc1nccn2c(-c3ccnc(NCC4(O)CC4)n3)c(-c3ccc(F)cc3F)nc12";"Ki";"'>'";"1995.26";"nM";"";"";"inactive";"UO_0000065";"";"";"";"";"0";"CHEMBL1963751";"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: ROS1";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5568";"Proto-oncogene tyrosine-protein kinase ROS";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";""
"CHEMBL1967302";"";"None";"398.47";"0";"3.67";"SID103904477";"NC(COc1cncc(-c2ccc3c(c2)CC(=O)N3)c1)Cc1c[nH]c2ccccc12";"Ki";"'>'";"1995.26";"nM";"";"";"inactive";"UO_0000065";"";"";"";"";"0";"CHEMBL1963751";"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: ROS1";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5568";"Proto-oncogene tyrosine-protein kinase ROS";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";""
"CHEMBL373751";"GSK-319347A";"None";"469.54";"0";"3.96";"GSK319347A";"COc1cc2ncn(-c3cc(OCc4ccccc4S(C)(=O)=O)c(C#N)s3)c2cc1OC";"Inhibition";"'='";"68.74";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1962169";"GSK_PKIS: ROS mean inhibition at 1 uM [Nanosyn]";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5568";"Proto-oncogene tyrosine-protein kinase ROS";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1961873";"16";"GSK Published Kinase Inhibitor Set";"";"";"None";"";""
"CHEMBL160876";"";"None";"377.18";"0";"3.17";"SB-360741";"O=C1NC(=O)C(c2ccc(Cl)cc2)=C1Nc1ccc(Cl)c(C(=O)O)c1";"Inhibition";"'='";"3.13";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1962169";"GSK_PKIS: ROS mean inhibition at 1 uM [Nanosyn]";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5568";"Proto-oncogene tyrosine-protein kinase ROS";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1961873";"16";"GSK Published Kinase Inhibitor Set";"";"";"None";"";""
"CHEMBL3786892";"";"None";"530.09";"2";"5.36";"17b";"COc1cc2c(cc1Nc1ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n1)CCC(N)C2(C)C";"Inhibition";"'='";"96.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL3789293";"Inhibition of human ROS at 1 uM after 30 mins by fluorescence assay in presence of ATP";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5568";"Proto-oncogene tyrosine-protein kinase ROS";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3784918";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2016";"None";"";""
"CHEMBL1982122";"";"None";"361.47";"0";"4.89";"SID103904560";"OCCC(Nc1nc2ccc(-c3ccncc3)cc2s1)c1ccccc1";"Ki";"'>'";"1995.26";"nM";"";"";"inactive";"UO_0000065";"";"";"";"";"0";"CHEMBL1963751";"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: ROS1";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5568";"Proto-oncogene tyrosine-protein kinase ROS";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";""
"CHEMBL1965660";"";"None";"348.19";"0";"3.13";"SID103904984";"NC(=O)c1cc(-c2ccnc(N)n2)[nH]c1-c1ccc(Cl)cc1Cl";"Ki";"'>'";"1995.26";"nM";"";"";"inactive";"UO_0000065";"";"";"";"";"0";"CHEMBL1963751";"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: ROS1";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5568";"Proto-oncogene tyrosine-protein kinase ROS";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";""
